realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat
474.3174994763423,1,4,0,0,1,10,1,1,1.111996477976483,0.6304909460189917,526.4694202447247,915.5870827687068,2.17556,41.39624
169.89782856610887,0,2,1,1,0,10,0,1,1.751839016015303,0.12401717176446692,320.12752551210633,794.2773503129439,2.14906,41.38714
161.98477901645447,0,4,0,0,1,9,0,1,1.6704928969848185,0.08032197629455128,344.07393595254723,840.6736172628903,2.15357,41.37859
367.9568040589289,1,3,0,0,1,10,1,1,1.475846518082221,0.09310686464817328,400.0574494539389,946.589883919022,2.16839,41.3739
196.89529173551793,0,3,0,1,0,9,1,1,1.8554523875617357,0.27248604884480077,346.04224486126867,792.2960390372838,2.15238,41.37699
330.9516605767216,1,3,0,0,1,9,1,2,2.56561144538374,0.7012904474128752,391.0874019298987,525.5139017194555,2.18197,41.40842
141.27120813647682,0,3,0,0,1,9,0,1,1.6483044059080143,0.08942672542334265,342.5968430512519,820.9265676695487,2.15342,41.37912
173.3888798380152,0,2,0,0,0,9,1,1,1.474227862111036,0.590519404106601,448.4056158207572,752.7588763697871,2.18195,41.39691
225.7546489166104,0,4,0,1,0,9,0,1,0.9626548851516769,0.356133898715912,791.8737456586989,1885.5346272618576,2.17742,41.3805
150.58067819489375,0,2,0,1,0,9,1,1,1.819599926166855,0.2856012819672106,361.1992095620816,806.236687179304,2.157,41.373999999999995
194.33518746945327,0,2,0,1,0,9,0,1,1.011673847628958,0.371659717830789,530.5220848322261,1189.497812942824,2.16895,41.37806
190.84413619754693,0,2,1,1,0,10,1,1,2.214067238602181,0.376016848359388,589.7332964686169,647.2490052387491,2.17853,41.40602
387.5066911816044,0,2,0,1,0,9,1,1,1.5493718616401952,0.5760611356393729,394.1508318300387,780.6114289479832,2.18778,41.3911
248.56285055973183,0,2,1,0,0,10,1,1,0.7409052928219434,0.27010757556829207,566.6504594901032,1145.7439394800836,2.17806,41.38993
136.38373635580794,0,3,0,0,1,9,0,1,1.6881515652165775,0.102537308785363,342.3747475635525,826.0136877793922,2.15326,41.37865
117.99753299043452,0,2,0,1,0,8,0,1,2.5774670088452263,0.05049220531962998,289.92047271053934,590.0639134566637,2.14385,41.37486
150.58067819489375,0,2,0,1,0,8,0,1,0.25032051605637906,0.2528176432539952,574.4172772437153,1438.2013104025184,2.16704,41.38741
1041.4969627853934,1,6,1,0,0,10,1,3,1.888740219991341,0.1377725911348623,1335.1308497481652,781.267568458616,2.173,41.404
474.3174994763423,1,4,0,0,1,10,1,1,1.1955935341570885,0.5799105835861592,512.849988503535,862.6687048852137,2.1771700000000003,41.39646
440.80340726604135,1,4,0,0,1,9,1,1,1.6181542700344187,0.5942830541189548,461.32144855040303,934.67341387050806,2.16091,41.4
111.01543044662182,0,2,0,0,1,9,0,1,1.6689209872198028,0.30708937902139494,1048.128673814189,795.9437787908979,2.173,41.402
691.9263620918379,1,4,1,0,1,10,1,2,1.0681015103265317,0.7836815814257695,555.112245870443,1006.2999901054148,2.17052,41.39675
141.27120813647682,0,2,0,1,0,8,0,1,1.7747744250904425,0.4394478768305885,356.5515528368028,795.057934191469,2.16554,41.37151
181.76740289059043,0,2,0,1,0,9,0,1,0.8936410295617603,0.24152580198231396,904.7590649943944,2068.9162590164688,2.17594,41.38044
190.84413619754693,0,2,0,1,0,9,1,1,1.3419060107449954,0.40214996528125496,443.97360225892294,791.9606442284061,2.18211,41.39508
230.17664719435845,0,3,1,1,0,10,1,1,0.6501889011504199,0.29428797113577876,565.4221815021109,1124.6893661210083,2.17636,41.39052
170.13056531756928,0,2,0,0,0,10,1,1,0.988416436013358,0.33722731057958744,771.779504755587,2156.790639444524,2.1768400000000003,41.37987
237.39148648963155,0,2,0,0,0,9,1,1,0.8275084638643502,0.13395603882623922,1372.755388951378,1979.6379776495503,2.17441,41.38046
387.5066911816044,0,2,0,0,0,9,1,1,1.1246083703443372,0.3112074982793677,772.7740862187085,1798.958510390665,2.1825799999999997,41.38353
143.36583889962063,0,2,0,1,0,10,0,1,1.0062316512673497,0.3873945853183816,616.5682855231846,1281.4188356018392,2.17135,41.37813
515.0464309819163,1,5,0,0,1,9,0,2,0.7183421817374067,0.1805120126212394,927.4266238145452,1527.0644876971248,2.1713,41.38074
139.87478762771428,0,2,1,1,0,10,1,1,1.8162136307943184,0.16268387341583837,1904.3957891111831,770.0655606518985,2.17345,41.403290000000005
150.58067819489375,0,2,0,1,0,10,1,1,0.9582425187777384,0.2384425272189815,533.7702573614004,1106.0763010321486,2.18096,41.38969
159.65741150185025,0,2,0,0,1,8,0,1,1.7490307160686356,0.21297703442387192,349.4105163872868,815.5411004951,2.154,41.376999999999995
229.2457001885167,0,2,0,1,0,9,1,1,0.7476329618860781,0.428519288321679,483.3990153810128,1176.368783736586,2.1647,41.38172
